1,,8.4X10x12.1,440,ferrule_wood_1.jpg,335,N001-01,JONGYNG,F84C-02 무링,무링
2,,8.4X13.4X12.3,440,ferrule_wood_2.jpg,335,N001-02,JONGYNG,F84C-03 무링,무링
3,,8.4X20X12.3,550,ferrule_wood_3.jpg,335,N001-03,JONGYNG,F84C-05 무링,무링
4,,8.4X6.5X12.6,440,ferrule_wood_4.jpg,335,N001-04,JONGYNG,F84C-06 무링,무링
5,,8.4X6.5X12.3,440,ferrule_wood_5.jpg,335,N001-05,JONGYNG,F84C-07 무링,무링
6,,8.4X13.4X13.6(외경대),440,ferrule_wood_6.jpg,335,N001-06,JONGYNG,F84C-08 무링,무링
7,,8.4X12X12.5,660,ferrule_wood_7.jpg,335,N100-14,JONGYNG,2F84C-39 원링,원링
8,,8.4X14X12.3 Silver,440,ferrule_wood_8.jpg,335,N100-20,JONGYNG,2F84C-48 원링,원링
9,,8.4X14X12.3 Red Gold,440,ferrule_wood_9.jpg,335,N100-21,JONGYNG,2F84C-49 원링,원링
10,,8.4X12X12.3,440,ferrule_wood_10.jpg,335,N100-22,JONGYNG,2F84C-50 원링,원링
11,,8.4X14X12,660,ferrule_wood_11.jpg,335,N100-23,JONGYNG,2F84C-51 원링 ,원링
12,,8.4X12.5X12.5,660,ferrule_wood_12.jpg,335,N100-24,JONGYNG,2F84C-52 원링,원링
13,,8.4X11.9X12.3,990,ferrule_wood_13.jpg,335,N100-26,MAOJING,U4F8.4 투링,투링
14,,8.4X12X12.3,990,ferrule_wood_14.jpg,335,N100-28,MAOJING,U4F8.4 투링,투링
15,,8.4X12X13,990,ferrule_wood_15.jpg,335,N100-29,MAOJING,U4F8.4 투링,투링
16,,8.4X14.8X13,550,ferrule_wood_16.jpg,335,N100-31,MAOJING,2F8.4 원링,원링
17,,8.4X15X13,550,ferrule_wood_17.jpg,335,N100-32,MAOJING,2F8.4 원링,원링
18,,8.4X17.8X12.5,550,ferrule_wood_18.jpg,335,N100-33,MAOJING,4F8.4 투링,투링
19,,8.4X17.8X13,550,ferrule_wood_19.jpg,335,N100-34,MAOJING,4F8.4 투링,투링
20,,8.4X14X12.3,"1,100",ferrule_wood_20.jpg,335,N100-35,MAOJING,F8.3C 투링,투링
21,,8.4X12X13 Red Glod,"1,100",ferrule_wood_21.jpg,335,N100-36,MAOJING,2F8.4C 원링,원링
22,,8.4X12X13 Red,"1,100",ferrule_wood_22.jpg,335,N100-37,MAOJING,2F8.4C 원링,원링
23,,8.4X12X13 Blue,"1,100",ferrule_wood_23.jpg,335,N100-38,MAOJING,2F8.4C 원링,원링
24,,8.4X14X12.3,"1,100",ferrule_wood_24.jpg,335,N100-39,MAOJING,U4F8.4C 투링,투링
25,,8.4X12X12.3 Silver,"1,100",ferrule_wood_25.jpg,335,N100-40,MAOJING,U4F8.4C 투링,투링
26,,8.4X12X12.3 Gold,"1,100",ferrule_wood_26.jpg,335,N100-41,MAOJING,U4F8.4C 투링,투링
27,,8.4X14.5X12.5,"1,100",ferrule_wood_27.jpg,335,N100-42,MAOJING,U4F8.4C 투링,투링
28,,8.4X14X12.3,"1,100",ferrule_wood_28.jpg,335,N100-44,MAOJING,2F8.3C,투링
29,,8.4X12X12.3,"1,100",ferrule_wood_29.jpg,335,N100-45,MAOJING,2F8.4C 투링,투링
30,,8.4X12X12.5,"1,100",ferrule_wood_30.jpg,335,N100-46,MAOJING,2F8.4C 투링,투링
31,,8.4X12X12.3 Red ,"1,100",ferrule_wood_31.jpg,335,N100-47,MAOJING,UF8.4C,무링
32,,8.4X12X12.3 Light Wine,"1,100",ferrule_wood_32.jpg,335,N100-48,MAOJING,UF8.4C,무링
33,,8.4X14X12.3 Light Blue,"1,100",ferrule_wood_33.jpg,335,N100-49,MAOJING,U2F8.4C 원링,원링
34,,8.4X14X12.3,"1,100",ferrule_wood_34.jpg,335,N100-50,MAOJING,4F8.4C 투링,투링
35,,8.4X14X13.1,440,ferrule_wood_35.jpg,335,N200-05,JONGYNG,4F84C-20 투링,투링
36,,8.4X14X12.3,440,ferrule_wood_36.jpg,335,N200-08,JONGYNG,4F84C-23 투링,투링
37,,8.4X12X13,"1,100",ferrule_wood_37.jpg,335,N200-09,JONGYNG,4F84C-24 투링,투링
38,,8.4X19.4X12.3,550,ferrule_wood_38.jpg,335,N200-10,JONGYNG,4F84C-25,투링
39,,8.4X12.5X12.3,440,ferrule_wood_39.jpg,335,N200-12,JONGYNG,4F84C-30,투링
40,,8.4X14X12.2,"1,100",ferrule_wood_40.jpg,335,N300-02,JONGYNG,U2F84C 원링,원링
41,,8.4X14X12.4,"1,100",ferrule_wood_41.jpg,335,N300-03,JONGYNG,U2F84C- 09 원링,원링
42,,8.4X14X12.4,880,ferrule_wood_42.jpg,335,N300-05,JONGYNG,U2F84C-11 원링,원링
43,,8.4X16.5X12.3 Body Sil,"1,100",ferrule_wood_43.jpg,335,N400-01,JONGYNG,U4F84C-02 투링,투링
44,,8.4X16.5X12.3Body Gold,"1,100",ferrule_wood_44.jpg,335,N500-01,JONGYNG,U6F84C-02 투링,투링
45,,8.4X19X12.3Body Green ,"1,100",ferrule_wood_45.jpg,335,N500-02,JONGYNG,U6F84C-04 투링,투링
46,,8.4X20X14.1,550,ferrule_wood_46.jpg,350,N600-01,JONGYNG,F90C-05 무링,무링
47,,8.4X6X12.6 S Silver,660,ferrule_wood_47.jpg,350,N700-01,JONGYNG,2F90C-05 원링,원링
48,,8.4X6X12.6 S Gold,660,ferrule_wood_48.jpg,350,N700-02,JONGYNG,2F90C-06 원링,원링
49,,8.4X14X12.3 내경대,660,ferrule_wood_49.jpg,350,N700-04,JONGYNG,2F90C-09 원링,원링
50,,8.4X14X13.6 내경소,660,ferrule_wood_50.jpg,350,N700-05,JONGYNG,2F90C-10 원링,원링
